选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课教室,课程类型,上课时间
"15002072","商法学","崂山校区","讲授","贺茜","4.0","64","240","","Specialty","1-17周 一(5-6节)",
"","","","","","","","","","Specialty","1-17周 二(7-8节)",
"15002084","网络犯罪与刑法前沿","崂山校区","讲授","贾占旭 王倩云","0.5","8","30","","Specialty","1-4周 二(7-8节)",
"15002083","强制执行法","崂山校区","讲授","宋春龙","2.0","32","80","","Specialty","1-17周 二(10-11节)",
"15002078","国际经济法前沿","崂山校区","讲授","曹亚伟","1.0","16","30","","Specialty","1-8周 四(10-11节)",
"15002082","美国侵权法理论与实践（英文）","崂山校区","讲授","高雅琦","2.0","32","24","","Specialty","1-17周 三(3-4节)",
"15002085","西方法律思想史","崂山校区","讲授","吴双","2.0","32","120","","Specialty","1-17周 四(1-2节)",
"15002077","国际环境法学","崂山校区","讲授","王金鹏","2.0","32","120","","Specialty","1-17周 四(3-4节)",
"15002088","自然资源法","崂山校区","讲授","时军","2.0","32","120","","Specialty","1-17周 一(7-8节)",
"15002079","金融法学","崂山校区","讲授","李延哲","2.0","32","120","","Specialty","1-17周 五(3-4节)",
"15002080","竞争法学","崂山校区","讲授","王洋","2.0","32","120","","Specialty","1-17周 三(7-8节)",
"15002070","海洋法学","崂山校区","讲授","于敏娜 刘惠荣","3.0","48","150","","Specialty","1-17周 五(5-7节)",
"15002063","毕业论文","崂山校区","讲授","李晟","8.0","240","150","","Specialty","1-17周",
"15002089","毕业论文","崂山校区","讲授","李晟","8.0","0","240","","Specialty","1-17周",
"15002086","证据学","崂山校区","讲授","潘侠","2.0","32","80","","Specialty","1-17周 二(5-6节)",
"15002073","社会科学研究方法","崂山校区","讲授","赵雷","2.0","32","150","","Specialty","1-17周 一(10-11节)",
"15002087","仲裁与公证","崂山校区","讲授","宋春龙","2.0","32","80","","Specialty","1-17周 二(1-2节)",
"20001013","中国政治制度史","崂山校区","讲授","王泉伟","4.0","64","90","","Specialty","1-16周 一(1-2节)",
"","","","","","","","","","Specialty","1-16周 三(5-6节)",
"20001018","中国政治思想史","崂山校区","讲授","允春喜","4.0","64","50","7108","Specialty","1-16周 一(3-4节)",
"","","","","","","","","7108","Specialty","1-16周 二(1-2节)",
"20001017","西方政治思想史","崂山校区","讲授","陈霞","4.0","64","90","","Specialty","1-16周 二(5-6节)",
"","","","","","","","","","Specialty","1-16周 五(7-8节)",
"20001015","公共行政学","崂山校区","讲授","黄杰 王雪","4.0","64","50","7112","Specialty","1-16周 三(7-8节)",
"","","","","","","","","7112","Specialty","1-16周 四(1-2节)",
"20001012","政治学经典著作选读","崂山校区","讲授","马红邑","2.0","32","51","7108","Specialty","1-16周 五(1-2节)",
"20001007","当代西方政治思潮","崂山校区","讲授","马红邑","3.0","48","51","7111","Specialty","1-16周 二(7-9节)",
"20001008","当代中国政府与政治","崂山校区","讲授","弓联兵","3.0","48","51","7111","Specialty","1-16周 一(5-7节)",
"20003012","公共政策学","崂山校区","讲授","许阳","3.0","48","51","7110","Specialty","1-16周 五(5-7节)",
"20001005","全球治理导论（双语）","崂山校区","讲授","张佳佳 孙凯","2.0","32","80","","Specialty","1-16周 四(1-2节)",
"20001010","行政法与行政诉讼法","崂山校区","讲授","董利民","2.0","32","51","","Specialty","1-16周 二(3-4节)",
"20003024","行政法与行政诉讼法","崂山校区","讲授","崔野","2.0","32","51","7108","Specialty","1-16周 一(5-6节)",
"20001009","国际关系学","崂山校区","讲授","王泉伟","2.0","32","51","7110","Specialty","1-16周 三(1-2节)",
"20001011","政治传播学","崂山校区","讲授","国晓光","2.0","32","51","7108","Specialty","1-16周 五(5-6节)",
"20001004","海洋行政管理学概论","崂山校区","讲授","王琪 崔野","2.0","32","80","","Specialty","1-16周 五(3-4节)",
"20001002","当代中国外交","崂山校区","讲授","董利民 郭培清","2.0","32","40","7108","Specialty","1-16周 五(7-8节)",
"20001001","毕业论文","崂山校区","讲授","马红邑","8.0","0","43","","Specialty","1-9周",
"20001016","社会调查理论与方法","崂山校区","讲授","耿爱生","2.5","48","50","7108","Specialty","1-16周 三(3-4节)",
"20001006","SPSS统计应用","崂山校区","讲授","胡馥妤","2.5","48","51","7113","Specialty","1-16周 四(3-4节)",
"18003045","体育统计学","崂山校区","讲授","陈平","2.0","32","40","6214","Specialty","1-17周 三(3-4节)",
